Function: strcmp
Variant: default
                                    generic_strcmp	__strcmp_lsx	__strcmp_aligned
========================================================================================================================
    length=1, align1=16304, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=1, align1=0, align2=16304:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
length=1, align1=16304, align2=16344:         0.52	        0.56 ( -7.70%)	        0.44 ( 15.39%)	
length=1, align1=16344, align2=16304:         0.52	        0.56 ( -8.20%)	        0.44 ( 15.40%)	
    length=1, align1=16288, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=1, align1=0, align2=16288:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.36%)	
length=1, align1=16288, align2=16336:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
length=1, align1=16336, align2=16288:         0.52	        0.44 ( 15.39%)	        0.47 (  8.70%)	
    length=1, align1=16272, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=1, align1=0, align2=16272:         0.52	        0.44 ( 15.34%)	        0.44 ( 15.38%)	
length=1, align1=16272, align2=16328:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.39%)	
length=1, align1=16328, align2=16272:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.39%)	
        length=2, align1=0, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.41%)	
        length=2, align1=2, align2=0:         0.56	        0.58 ( -2.84%)	        0.66 (-17.79%)	
        length=2, align1=0, align2=2:         0.72	        0.56 ( 22.22%)	        0.66 (  8.34%)	
  length=2, align1=8192, align2=8191:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
  length=2, align1=8191, align2=8192:         0.88	        0.68 ( 22.74%)	        0.86 (  2.30%)	
    length=2, align1=16382, align2=0:         0.96	        0.68 ( 29.17%)	        0.86 ( 10.43%)	
    length=2, align1=0, align2=16382:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
    length=2, align1=16368, align2=0:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
    length=2, align1=0, align2=16368:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=2, align1=16368, align2=16376:         0.52	        0.56 ( -7.70%)	        0.44 ( 15.40%)	
length=2, align1=16376, align2=16368:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.37%)	
    length=2, align1=16352, align2=0:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.37%)	
    length=2, align1=0, align2=16352:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.37%)	
length=2, align1=16352, align2=16368:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=2, align1=16368, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
    length=2, align1=16336, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=2, align1=0, align2=16336:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
length=2, align1=16336, align2=16360:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.40%)	
length=2, align1=16360, align2=16336:         0.52	        0.56 ( -8.20%)	        0.44 ( 15.39%)	
    length=2, align1=16320, align2=0:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
    length=2, align1=0, align2=16320:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
length=2, align1=16320, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=2, align1=16352, align2=16320:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.36%)	
    length=2, align1=16304, align2=0:         0.54	        0.44 ( 18.99%)	        0.44 ( 18.97%)	
    length=2, align1=0, align2=16304:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=2, align1=16304, align2=16344:         0.52	        0.56 ( -7.71%)	        0.44 ( 15.39%)	
length=2, align1=16344, align2=16304:         0.52	        0.56 ( -8.00%)	        0.44 ( 15.39%)	
    length=2, align1=16288, align2=0:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
    length=2, align1=0, align2=16288:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.36%)	
length=2, align1=16288, align2=16336:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.38%)	
length=2, align1=16336, align2=16288:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.39%)	
    length=2, align1=16272, align2=0:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.38%)	
    length=2, align1=0, align2=16272:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.37%)	
length=2, align1=16272, align2=16328:         0.52	        0.56 ( -7.73%)	        0.44 ( 15.38%)	
length=2, align1=16328, align2=16272:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.01%)	
        length=3, align1=0, align2=0:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
        length=3, align1=3, align2=0:         0.64	        0.56 ( 12.11%)	        0.66 ( -3.12%)	
        length=3, align1=0, align2=3:         0.72	        0.56 ( 22.21%)	        0.66 (  8.32%)	
  length=3, align1=8192, align2=8191:         0.87	        0.68 ( 21.64%)	        0.86 (  0.91%)	
  length=3, align1=8191, align2=8192:         0.88	        0.68 ( 22.47%)	        0.86 (  2.30%)	
    length=3, align1=16381, align2=0:         1.04	        0.68 ( 34.64%)	        0.86 ( 17.34%)	
    length=3, align1=0, align2=16381:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.38%)	
    length=3, align1=16368, align2=0:         0.52	        0.44 ( 15.93%)	        0.44 ( 15.90%)	
    length=3, align1=0, align2=16368:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
length=3, align1=16368, align2=16376:         0.52	        0.56 ( -7.12%)	        0.44 ( 15.87%)	
length=3, align1=16376, align2=16368:         0.52	        0.56 ( -7.73%)	        0.44 ( 15.36%)	
    length=3, align1=16352, align2=0:         0.52	        0.44 ( 15.26%)	        0.44 ( 15.40%)	
