Function: strchrnul
Variant: 
                                    generic_strchrnul	__strchrnul_lasx	__strchrnul_lsx	__strchrnul_aligned
========================================================================================================================
     length=256, pos=64, alignment=5:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.38 (  4.15%)	
     length=256, pos=64, alignment=5:         1.44	        0.44 ( 69.48%)	        0.64 ( 55.60%)	        1.36 (  5.66%)	
     length=256, pos=64, alignment=6:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.55%)	
     length=256, pos=64, alignment=6:         1.44	        0.44 ( 69.53%)	        0.64 ( 55.66%)	        1.37 (  4.81%)	
     length=256, pos=64, alignment=7:         1.44	        0.44 ( 69.16%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
     length=256, pos=64, alignment=7:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
    length=512, pos=256, alignment=0:         4.45	        0.96 ( 78.43%)	        1.68 ( 62.17%)	        4.02 (  9.65%)	
    length=512, pos=256, alignment=0:         4.46	        0.96 ( 78.46%)	        1.81 ( 59.32%)	        4.02 (  9.82%)	
   length=512, pos=256, alignment=16:         4.44	        0.97 ( 78.07%)	        1.81 ( 59.18%)	        4.02 (  9.45%)	
   length=512, pos=256, alignment=16:         4.44	        0.96 ( 78.36%)	        1.81 ( 59.18%)	        4.02 (  9.46%)	
   length=512, pos=256, alignment=32:         4.44	        0.96 ( 78.39%)	        1.83 ( 58.90%)	        4.02 (  9.49%)	
   length=512, pos=256, alignment=32:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.03 (  9.23%)	
   length=512, pos=256, alignment=48:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.03 (  9.23%)	
   length=512, pos=256, alignment=48:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.03 (  9.20%)	
   length=512, pos=256, alignment=64:         4.44	        0.96 ( 78.38%)	        1.59 ( 64.26%)	        4.03 (  9.15%)	
   length=512, pos=256, alignment=64:         4.44	        0.96 ( 78.39%)	        1.61 ( 63.83%)	        4.02 (  9.49%)	
   length=512, pos=256, alignment=80:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.02 (  9.47%)	
   length=512, pos=256, alignment=80:         4.45	        0.96 ( 78.45%)	        1.81 ( 59.29%)	        4.02 (  9.75%)	
   length=512, pos=256, alignment=96:         4.45	        0.96 ( 78.44%)	        1.70 ( 61.81%)	        4.02 (  9.70%)	
   length=512, pos=256, alignment=96:         4.45	        0.96 ( 78.43%)	        1.81 ( 59.25%)	        4.02 (  9.66%)	
  length=512, pos=256, alignment=112:         4.45	        0.96 ( 78.45%)	        1.80 ( 59.56%)	        4.02 (  9.76%)	
  length=512, pos=256, alignment=112:         4.45	        0.96 ( 78.44%)	        1.81 ( 59.27%)	        4.02 (  9.71%)	
        length=1, pos=0, alignment=0:         0.52	        0.36 ( 30.75%)	        0.32 ( 38.45%)	        0.40 ( 23.07%)	
        length=1, pos=0, alignment=0:         0.52	        0.36 ( 30.78%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=2, pos=1, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.41 ( 20.28%)	
        length=2, pos=1, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=3, pos=2, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=3, pos=2, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=4, pos=3, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.07%)	
        length=4, pos=3, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=5, pos=4, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=5, pos=4, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.07%)	
        length=6, pos=5, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=6, pos=5, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=7, pos=6, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=7, pos=6, alignment=0:         0.52	        0.36 ( 30.76%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=8, pos=7, alignment=0:         0.52	        0.36 ( 30.76%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=8, pos=7, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=9, pos=8, alignment=0:         0.65	        0.36 ( 44.90%)	        0.32 ( 51.03%)	        0.51 ( 22.10%)	
        length=9, pos=8, alignment=0:         0.65	        0.36 ( 44.90%)	        0.32 ( 51.02%)	        0.51 ( 22.45%)	
       length=10, pos=9, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
       length=10, pos=9, alignment=0:         0.60	        0.36 ( 40.01%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=11, pos=10, alignment=0:         0.60	        0.36 ( 39.99%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=11, pos=10, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=12, pos=11, alignment=0:         0.64	        0.36 ( 43.59%)	        0.32 ( 49.86%)	        0.51 ( 20.61%)	
      length=12, pos=11, alignment=0:         0.62	        0.36 ( 41.51%)	        0.32 ( 48.01%)	        0.51 ( 17.68%)	
