Function: strnlen
Variant: 
                                    generic_strnlen	__strnlen_lasx	__strnlen_lsx	__strnlen_aligned
========================================================================================================================
len=5000, maxlen=16, max_char=127, align=1:         1.20	        0.44 ( 63.34%)	        0.40 ( 66.67%)	        0.65 ( 46.04%)	
len=32, maxlen=5000, max_char=127, align=0:         1.44	        0.44 ( 69.44%)	        0.48 ( 66.66%)	        0.80 ( 44.44%)	
len=32, maxlen=5000, max_char=127, align=1:         1.47	        0.44 ( 70.00%)	        0.48 ( 67.28%)	        0.80 ( 45.47%)	
len=5000, maxlen=32, max_char=127, align=0:         1.36	        0.44 ( 67.65%)	        0.40 ( 70.58%)	        0.68 ( 50.00%)	
len=5000, maxlen=32, max_char=127, align=1:         1.44	        0.44 ( 69.44%)	        0.44 ( 69.43%)	        0.80 ( 44.43%)	
len=64, maxlen=5000, max_char=127, align=0:         1.76	        0.56 ( 68.18%)	        0.60 ( 65.91%)	        1.12 ( 36.36%)	
len=64, maxlen=5000, max_char=127, align=1:         1.77	        0.56 ( 68.35%)	        0.60 ( 66.09%)	        1.12 ( 36.70%)	
len=5000, maxlen=64, max_char=127, align=0:         1.68	        0.44 ( 73.80%)	        0.44 ( 73.80%)	        1.03 ( 38.89%)	
len=5000, maxlen=64, max_char=127, align=1:         1.76	        0.52 ( 70.45%)	        0.52 ( 70.45%)	        1.12 ( 36.36%)	
len=128, maxlen=5000, max_char=127, align=0:         2.48	        0.64 ( 74.19%)	        0.76 ( 69.35%)	        1.82 ( 26.42%)	
len=128, maxlen=5000, max_char=127, align=1:         2.48	        0.64 ( 74.20%)	        0.76 ( 69.35%)	        1.85 ( 25.60%)	
len=5000, maxlen=128, max_char=127, align=0:         2.44	        0.52 ( 78.68%)	        0.68 ( 72.13%)	        1.70 ( 30.32%)	
len=5000, maxlen=128, max_char=127, align=1:         2.51	        1.46 ( 41.81%)	        0.76 ( 69.69%)	        1.82 ( 27.39%)	
len=256, maxlen=5000, max_char=127, align=0:         4.00	        1.83 ( 54.17%)	        1.08 ( 72.99%)	        3.16 ( 21.00%)	
len=256, maxlen=5000, max_char=127, align=1:         3.92	        1.29 ( 67.09%)	        1.08 ( 72.45%)	        3.10 ( 20.92%)	
len=5000, maxlen=256, max_char=127, align=0:         3.83	        0.84 ( 78.05%)	        1.00 ( 73.88%)	        3.10 ( 19.02%)	
