Function: strchr
Variant: 
                                    generic_strchr	__strchr_lasx	__strchr_lsx	__strchr_aligned
========================================================================================================================
    length=4096, pos=32, alignment=1:         1.20	        0.56 ( 53.34%)	        0.76 ( 36.67%)	        0.96 ( 20.21%)	
    length=4096, pos=64, alignment=0:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.75%)	        1.41 ( 13.47%)	
    length=4096, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
   length=4096, pos=128, alignment=0:         2.63	        0.97 ( 63.16%)	        1.69 ( 35.64%)	        2.32 ( 11.81%)	
   length=4096, pos=128, alignment=3:         2.62	        0.80 ( 69.47%)	        1.69 ( 35.37%)	        2.33 ( 11.09%)	
   length=4096, pos=256, alignment=0:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.40%)	
   length=4096, pos=256, alignment=4:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.10 ( 12.37%)	
   length=4096, pos=512, alignment=0:         8.84	        1.77 ( 80.00%)	        3.61 ( 59.12%)	        7.66 ( 13.35%)	
   length=4096, pos=512, alignment=5:         8.85	        1.76 ( 80.12%)	        3.62 ( 59.06%)	        7.66 ( 13.47%)	
  length=4096, pos=1024, alignment=0:        18.16	        3.04 ( 83.26%)	        7.69 ( 57.68%)	       15.53 ( 14.48%)	
  length=4096, pos=1024, alignment=6:        17.88	        3.05 ( 82.96%)	        7.12 ( 60.17%)	       15.55 ( 13.04%)	
  length=4096, pos=2048, alignment=0:        34.90	        5.61 ( 83.92%)	       11.69 ( 66.49%)	       29.54 ( 15.37%)	
  length=4096, pos=2048, alignment=7:        34.65	        5.61 ( 83.81%)	       11.70 ( 66.24%)	       29.55 ( 14.72%)	
     length=256, pos=64, alignment=1:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=1:         1.63	        0.61 ( 62.52%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=2:         1.63	        0.60 ( 63.13%)	        1.08 ( 33.74%)	        1.42 ( 13.02%)	
     length=256, pos=64, alignment=3:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=3:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=4:         1.63	        0.61 ( 62.57%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=4:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
