Function: memchr
Variant: 
                                    generic_memchr	__memchr_lasx	__memchr_lsx	__memchr_aligned
========================================================================================================================
align=3, pos=3, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.26%)	        0.44 ( 31.27%)	
align=3, pos=3, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=8192, pos=3, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=8192, pos=3, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=8195, pos=3, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8195, pos=3, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.06%)	        0.44 ( 31.25%)	
align=8192, pos=3, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=8192, pos=3, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=8195, pos=3, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8195, pos=3, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=16369, pos=3, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.16%)	        0.46 ( 28.79%)	
align=16369, pos=3, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=16369, pos=3, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=16369, pos=3, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=0, pos=4, len=5, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=0, pos=4, len=5, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.55%)	        0.44 ( 31.31%)	        0.44 ( 31.31%)	
align=4, pos=4, len=5, seek_char=23, invert_pos=0:         0.83	        0.40 ( 51.82%)	        0.44 ( 47.00%)	        0.52 ( 37.35%)	
align=4, pos=4, len=5, seek_char=0, invert_pos=0:         0.83	        0.40 ( 51.81%)	        0.44 ( 46.99%)	        0.52 ( 37.35%)	
align=0, pos=4, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.71%)	        0.44 ( 31.50%)	        0.44 ( 31.50%)	
align=0, pos=4, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=4, pos=4, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=4, pos=4, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=8192, pos=4, len=5, seek_char=23, invert_pos=0:         0.66	        0.40 ( 38.92%)	        0.44 ( 32.82%)	        0.44 ( 32.82%)	
align=8192, pos=4, len=5, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
